name	word	time_w	diph	time_d
03-speaker-im	gourd	0.6806725785552388	ua_l	0.316579834869799
03-speaker-im	bows	0.7346749811035522	aw_l	0.37108425941973877
03-speaker-im	bode	0.6334672281611091	ow_l	0.3004988813174094
03-speaker-im	graduate	0.7393277183889424	ua_s	0.15491455370026586
03-speaker-im	bite	0.5901890807605099	ay_s	0.20316239816582993
03-speaker-im	babe	0.572361111111114	ey_l	0.26738386657888924
03-speaker-im	idiom	0.5467264239028964	ia_l	0.1342849334728271
03-speaker-im	gouge	0.6148527441051641	aw_l	0.32718462361913225
03-speaker-im	doubt	0.6128138528138436	aw_s	0.25144017215448855
03-speaker-im	dice	0.6149017384731792	ay_s	0.27940160404205017
03-speaker-im	toyed	0.5777739984882686	oy_l	0.3283418729193812
03-speaker-im	daze	0.6698034544601228	ey_l	0.316193518274531
03-speaker-im	dies	0.5740674103070802	ay_l	0.2761286497183164
03-speaker-im	dais	0.5964726345083449	ey_s	0.26015293652710625
03-speaker-im	idiot	0.6632693553611801	ia_s	0.18653049810528444
03-speaker-im	Joyce	0.6152216037930316	oy_s	0.21861824298078147
03-speaker-im	doit	0.7650097181729762	oy_s	0.2726400549071428
04-speaker-ym	thereto	0.582589839375554	ea_s	0.18862191325953304
04-speaker-ym	babe	0.342723734866591	ey_l	0.1915049361648733
04-speaker-ym	idiom	0.6043754454162622	ia_l	0.15189700440019038
04-speaker-ym	daresay	0.5898052381385721	ea_s	0.16763751764225887
04-speaker-ym	bait	0.33710371450167464	ey_s	0.11149613673600811
04-speaker-ym	boat	0.34318624512384943	ow_s	0.14381752958981942
04-speaker-ym	douse	0.5158980578914125	aw_s	0.21400486118615802
04-speaker-ym	bite	0.37791545189504916	ay_s	0.15334648537531237
04-speaker-ym	graduate	0.5717625910013133	ua_s	0.21657808241141652
04-speaker-ym	gouge	0.43703645560788473	aw_l	0.2308142545824765
04-speaker-ym	joke	0.4303188570114074	ow_s	0.17348342803739314
04-speaker-ym	Joyce	0.43745690817119254	oy_s	0.17770588874119397
04-speaker-ym	dare	0.47870806442234937	ea_l	0.3112047486704874
04-speaker-ym	doit	0.41378639455782107	oy_s	0.15604859239293134
04-speaker-ym	theirs	0.4452727995290573	ea_l	0.24506587189330986
04-speaker-ym	dies	0.4430697596498909	ay_l	0.228103877632293
04-speaker-ym	idiot	0.5170752078609269	ia_s	0.15842895151936176
04-speaker-ym	gourd	0.4768530396285584	ua_l	0.289516822602053
04-speaker-ym	joys	0.44652079430806424	oy_l	0.20435681443667164
04-speaker-ym	bows	0.4128241162424544	aw_l	0.23217591900480272
04-speaker-ym	daze	0.3320208627668748	ey_l	0.18255567883718982
04-speaker-ym	dice	0.4796936062560633	ay_s	0.1791674337795044
04-speaker-ym	abjured	0.6302073912689963	ua_l	0.2128642932105862
